Segmento;Item;CEST;NCM/SH;Descrição
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;63.0;10.063.00;7407;Barras de cobre
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;64.0;10.064.00;7411.10.10;Tubos de cobre e suas ligas, para instalações de água quente e gás, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;65.0;10.065.00;7412;Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;66.0;10.066.00;7415;Tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;67.0;10.067.00;7418.20.00;Artefatos de higiene/toucador de cobre, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;68.0;10.068.00;7607.19.90;Manta de subcobertura aluminizada
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;69.0;10.069.00;7608;Tubos de alumínio e suas ligas, para refrigeração e ar condicionado, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;70.0;10.070.00;7609.00.00;Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;71.0;10.071.00;7610;Construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406. chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;72.0;10.072.00;7615.20.00;Artefatos de higiene/toucador de alumínio, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;73.0;10.073.00;7616;Outras obras de alumínio, próprias para construções, incluídas as persianas
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;74.0;10.074.00;8302.41.00;Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores.
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;74.0;10.074.00;;Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores.
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;75.0;10.075.00;8301;Fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns. exceto os de uso automotivo
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;76.0;10.076.00;8302.10.00;Dobradiças de metais comuns, de qualquer tipo
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;77.0;10.077.00;8307;Tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;78.0;10.078.00;8311;Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;79.0;10.079.00;8481;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes
MATERIAIS DE CONSTRUÇÃO E CONGÊNERES;80.0;10.080.00;7009;Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo
MATERIAIS DE LIMPEZA;1.0;11.001.00;2828.90.11;Água sanitária, branqueador e outros alvejantes
MATERIAIS DE LIMPEZA;1.0;11.001.00;2828.90.19;Água sanitária, branqueador e outros alvejantes
MATERIAIS DE LIMPEZA;1.0;11.001.00;3206.41.00;Água sanitária, branqueador e outros alvejantes
MATERIAIS DE LIMPEZA;1.0;11.001.00;3402.20.00;Água sanitária, branqueador e outros alvejantes
MATERIAIS DE LIMPEZA;1.0;11.001.00;3808.94.19;Água sanitária, branqueador e outros alvejantes
MATERIAIS DE LIMPEZA;2.0;11.002.00;3401.20.90;Sabões em pó, flocos, palhetas, grânulos ou outras formas semelhantes, para lavar roupas
MATERIAIS DE LIMPEZA;3.0;11.003.00;3401.20.90;Sabões líquidos para lavar roupas
MATERIAIS DE LIMPEZA;4.0;11.004.00;3402.20.00;Detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes
MATERIAIS DE LIMPEZA;5.0;11.005.00;3402.20.00;Detergentes líquidos, exceto para lavar roupa
MATERIAIS DE LIMPEZA;6.0;11.006.00;3402.20.00;Detergente líquido para lavar roupa
MATERIAIS DE LIMPEZA;7.0;11.007.00;3402;Outros agentes orgânicos de superfície (exceto sabões). preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos CEST 11.004.00, 11.005.00 e 11.006.00. em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg
MATERIAIS DE LIMPEZA;8.0;11.008.00;3809.91.90;Amaciante/suavizante
MATERIAIS DE LIMPEZA;9.0;11.009.00;3924.10.00;Esponjas para limpeza
MATERIAIS DE LIMPEZA;9.0;11.009.00;3924.90.00;Esponjas para limpeza
MATERIAIS DE LIMPEZA;9.0;11.009.00;6805.30.10;Esponjas para limpeza
MATERIAIS DE LIMPEZA;9.0;11.009.00;6805.30.90;Esponjas para limpeza
MATERIAIS DE LIMPEZA;10.0;11.010.00;2207;Álcool etílico para limpeza
MATERIAIS DE LIMPEZA;10.0;11.010.00;2208.90.00;Álcool etílico para limpeza
MATERIAIS DE LIMPEZA;11.0;11.011.00;7323.10.00;Esponjas e palhas de aço. esponjas para limpeza, polimento ou uso semelhantes. todas de uso doméstico
MATERIAIS DE LIMPEZA;12.0;11.012.00;3923.2;Sacos de lixo de conteúdo igual ou inferior a 100 litros
MATERIAIS ELÉTRICOS;1.0;12.001.00;8504;Transformadores, bobinas de reatância e de autoindução, inclusive os transformadores de potência superior a 16 KVA, classificados nas posições 8504.33.00 e 8504.34.00. exceto os demais transformadores da subposição 8504.3, os reatores para lâmpadas elétricas de descarga classificados no código 8504.10.00, os carregadores de acumuladores do código 8504.40.10, os equipamentos de alimentação ininterrupta de energia (UPS ou “no break”), no código 8504.40.40 e os de uso automotivo
MATERIAIS ELÉTRICOS;2.0;12.002.00;8516;Aquecedores elétricos de água, incluídos os de imersão, chuveiros ou duchas elétricos, torneiras elétricas, resistências de aquecimento, inclusive as de duchas e chuveiros elétricos e suas partes. exceto outros fornos, fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, classificados na posição 8516.60.00
MATERIAIS ELÉTRICOS;3.0;12.003.00;8535;Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, eliminadores de onda, tomadas de corrente e outros conectores, caixas de junção), para tensão superior a 1.000V, exceto os de uso automotivo
MATERIAIS ELÉTRICOS;4.0;12.004.00;8536;Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, plugues e tomadas de corrente, suportes para lâmpadas e outros conectores, caixas de junção), para uma tensão não superior a 1.000V. conectores para fibras ópticas, feixes ou cabos de fibras ópticas. exceto 'starter' classificado na subposição 8536.50 e os de uso automotivo
MATERIAIS ELÉTRICOS;5.0;12.005.00;8538;Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 8535 e 8536
MATERIAIS ELÉTRICOS;6.0;12.006.00;7413.00.00;Cabos, tranças e semelhantes, de cobre, não isolados para usos elétricos, exceto os de uso automotivo
MATERIAIS ELÉTRICOS;7.0;12.007.00;8544;Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000V, para uso na construção. fios e cabos telefônicos e para transmissão de dados. cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão. cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos. exceto os de uso automotivo
MATERIAIS ELÉTRICOS;7.0;12.007.00;7605;Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000V, para uso na construção. fios e cabos telefônicos e para transmissão de dados. cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão. cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos. exceto os de uso automotivo
MATERIAIS ELÉTRICOS;7.0;12.007.00;7614;Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000V, para uso na construção. fios e cabos telefônicos e para transmissão de dados. cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão. cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos. exceto os de uso automotivo
MATERIAIS ELÉTRICOS;8.0;12.008.00;8546;Isoladores de qualquer matéria, para usos elétricos
MATERIAIS ELÉTRICOS;9.0;12.009.00;8547;Peças isolantes inteiramente de matérias isolantes, ou com simples peças metálicas de montagem (suportes roscados, por exemplo) incorporadas na massa, para máquinas, aparelhos e instalações elétricas. tubos isoladores e suas peças de ligação, de metais comuns, isolados interiormente
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;1.0;13.001.00;3003;Medicamentos de referência - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;1.0;13.001.00;3004;Medicamentos de referência - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;1.1;13.001.01;3003;Medicamentos de referência - negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;1.1;13.001.01;3004;Medicamentos de referência - negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;1.2;13.001.02;3003;Medicamentos de referência - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;1.2;13.001.02;3004;Medicamentos de referência - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;2.0;13.002.00;3003;Medicamentos genérico - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;2.0;13.002.00;3004;Medicamentos genérico - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;2.1;13.002.01;3003;Medicamentos genérico - negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;2.1;13.002.01;3004;Medicamentos genérico - negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;2.2;13.002.02;3003;Medicamentos genérico - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;2.2;13.002.02;3004;Medicamentos genérico - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;3.0;13.003.00;3003;Medicamentos similar - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;3.0;13.003.00;3004;Medicamentos similar - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;3.1;13.003.01;3003;Medicamentos similar - negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;3.1;13.003.01;3004;Medicamentos similar - negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;3.2;13.003.02;3003;Medicamentos similar - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;3.2;13.003.02;3004;Medicamentos similar - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;4.0;13.004.00;3003;Outros tipos de medicamentos - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;4.0;13.004.00;3004;Outros tipos de medicamentos - positiva, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;4.1;13.004.01;3003;Outros tipos de medicamentos -  negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;4.1;13.004.01;3004;Outros tipos de medicamentos -  negativa, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;4.2;13.004.02;3003;Outros tipos de medicamentos - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;4.2;13.004.02;3004;Outros tipos de medicamentos - neutra, exceto para uso veterinário
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;5.0;13.005.00;3006.60.00;Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - positiva
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;5.1;13.005.01;3006.60.00;Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - negativa
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;6.0;13.006.00;2936;Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;7.0;13.007.00;3006.30;Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - positiva
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;7.1;13.007.01;3006.30;Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - negativa
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;8.0;13.008.00;3002;Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - positiva
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;8.1;13.008.01;3002;Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - negativa
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;9.0;13.009.00;3002;Vacinas e produtos semelhantes, exceto para uso veterinário - positiva.
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;9.1;13.009.01;3002;Vacinas e produtos semelhantes, exceto para uso veterinário - negativa.
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;10.0;13.010.00;3005.10.10;Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Positiva
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;10.1;13.010.01;3005.10.10;Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Negativa
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;11.0;13.011.00;3005;Algodão, atadura, esparadrapo, gazes, pensos, sinapismos, e outros, acondicionados para venda a retalho para usos medicinais, cirúrgicos ou dentários, não impregnados ou recobertos de substâncias farmacêuticas - Lista Neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;12.0;13.012.00;4015.11.00;Luvas cirúrgicas e luvas de procedimento - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;12.0;13.012.00;4015.19.00;Luvas cirúrgicas e luvas de procedimento - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;13.0;13.013.00;4014.10.00;Preservativo - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;14.0;13.014.00;9018.31;Seringas, mesmo com agulhas - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;15.0;13.015.00;9018.32.1;Agulhas para seringas - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;16.0;13.016.00;3926.90.90;Contraceptivos (dispositivos intra-uterinos - DIU) - neutra
MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS FARMACÊUTICOS PARA USO HUMANO OU VETERINÁRIO;16.0;13.016.00;9018.90.99;Contraceptivos (dispositivos intra-uterinos - DIU) - neutra
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;1.0;14.001.00;7013;Objetos de vidro para serviço de mesa ou de cozinha
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;2.0;14.002.00;7013.37.00;Outros copos, exceto de vitrocerâmica
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;3.0;14.003.00;7013.42.90;Objetos para serviço de mesa (exceto copos) ou de cozinha, exceto de vitrocerâmica
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;4.0;14.004.00;3919;Lonas plásticas, exceto as para uso na construção
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;4.0;14.004.00;3920;Lonas plásticas, exceto as para uso na construção
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;4.0;14.004.00;3921;Lonas plásticas, exceto as para uso na construção
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;5.0;14.005.00;3924;Artefatos de higiene/toucador de plástico, exceto os para uso na construção
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;6.0;14.006.00;3924.10.00;Serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, inclusive os descartáveis
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;7.0;14.007.00;6911.10.10;Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis - estojos
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;8.0;14.008.00;6911.10.90;Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis - avulsos
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;9.0;14.009.00;6912.00.00;Artigos para serviço de mesa ou de cozinha, de cerâmica
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;10.0;14.010.00;6912.00.00;Velas para filtros
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;11.0;14.011.00;4823.20.9;Filtros descartáveis para coar café ou chá
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;12.0;14.012.00;4823.6;Bandejas, travessas, pratos, xícaras ou chávenas, taças, copos e artigos semelhantes, de papel ou cartão
PAPÉIS, PLÁSTICOS, PRODUTOS CERÂMICOS E VIDROS;13.0;14.013.00;4813.10.00;Papel para cigarro
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;1.0;16.001.00;4011.10.00;Pneus novos, dos tipos utilizados em automóveis de passageiros (incluídos os veículos de uso misto - camionetas e os automóveis de corrida)
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;2.0;16.002.00;4011;Pneus novos, dos tipos utilizados em caminhões (inclusive para os fora-de-estrada), ônibus, aviões, máquinas de terraplenagem, de construção e conservação de estradas, máquinas e tratores agrícolas, pá-carregadeira
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;3.0;16.003.00;4011.40.00;Pneus novos para motocicletas
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;4.0;16.004.00;4011;Outros tipos de pneus novos, exceto os itens classificados no CEST 16.005.00
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;5.0;16.005.00;4011.50.00;Pneus novos de borracha dos tipos utilizados em bicicletas
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;6.0;16.006.00;4012.1;Pneus recauchutados
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;7.0;16.007.00;4012.90;Protetores de borracha, exceto os itens classificados no CEST 16.007.01
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;7.1;16.007.01;4012.90;Protetores de borracha para bicicletas
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;8.0;16.008.00;4013;Câmaras de ar de borracha, exceto os itens classificados no CEST 16.009.00
PNEUMÁTICOS, CÂMARAS DE AR E PROTETORES DE BORRACHA;9.0;16.009.00;4013.20.00;Câmaras de ar de borracha dos tipos utilizados em bicicletas
PRODUTOS ALIMENTÍCIOS;1.0;17.001.00;1704.90.10;Chocolate branco, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os ovos de páscoa de chocolate.
PRODUTOS ALIMENTÍCIOS;2.0;17.002.00;1806.31.10;Chocolates contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg
PRODUTOS ALIMENTÍCIOS;2.0;17.002.00;1806.31.20;Chocolates contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg
PRODUTOS ALIMENTÍCIOS;3.0;17.003.00;1806.32.10;Chocolate em barras, tabletes ou blocos ou no estado líquido, em pasta, em pó, grânulos ou formas semelhantes, em recipientes ou embalagens imediatas de conteúdo inferior ou igual a 2 kg
PRODUTOS ALIMENTÍCIOS;3.0;17.003.00;1806.32.20;Chocolate em barras, tabletes ou blocos ou no estado líquido, em pasta, em pó, grânulos ou formas semelhantes, em recipientes ou embalagens imediatas de conteúdo inferior ou igual a 2 kg
PRODUTOS ALIMENTÍCIOS;4.0;17.004.00;1806.90.00;Chocolates e outras preparações alimentícias contendo cacau, em embalagens de conteúdo 
PRODUTOS ALIMENTÍCIOS;5.0;17.005.00;1704.90.10;Ovos de páscoa de chocolate branco
PRODUTOS ALIMENTÍCIOS;5.1;17.005.01;1806.90.00;Ovos de páscoa de chocolate
PRODUTOS ALIMENTÍCIOS;6.0;17.006.00;1806.90.00;Achocolatados em pó, em embalagens de conteúdo inferior ou igual a 1 kg
PRODUTOS ALIMENTÍCIOS;6.1;17.006.01;1806.10.00;Cacau em pó, com adição de açúcar ou de outros edulcorantes, em embalagens de conteúdo inferior ou igual a 1 kg
PRODUTOS ALIMENTÍCIOS;7.0;17.007.00;1806.90.00;Caixas de bombons contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg
PRODUTOS ALIMENTÍCIOS;8.0;17.008.00;1704.90.90;Bombons, inclusive à base de chocolate branco sem cacau
PRODUTOS ALIMENTÍCIOS;9.0;17.009.00;1806.90.00;Bombons, balas, caramelos, confeitos, pastilhas e outros produtos de confeitaria, contendo cacau
PRODUTOS ALIMENTÍCIOS;10.0;17.010.00;2009;Sucos de frutas ou de produtos hortícolas. mistura de sucos
PRODUTOS ALIMENTÍCIOS;11.0;17.011.00;2009.8;Água de coco
PRODUTOS ALIMENTÍCIOS;12.0;17.012.00;0402.1;Leite em pó, blocos ou grânulos, exceto creme de leite
PRODUTOS ALIMENTÍCIOS;12.0;17.012.00;0402.2;Leite em pó, blocos ou grânulos, exceto creme de leite
PRODUTOS ALIMENTÍCIOS;12.0;17.012.00;0402.9;Leite em pó, blocos ou grânulos, exceto creme de leite
PRODUTOS ALIMENTÍCIOS;13.0;17.013.00;1901.10.20;Farinha láctea
PRODUTOS ALIMENTÍCIOS;14.0;17.014.00;1901.10.10;Leite modificado para alimentação de crianças
PRODUTOS ALIMENTÍCIOS;15.0;17.015.00;1901.10.90;Preparações para alimentação infantil à base de farinhas, grumos, sêmolas ou amidos e outros
PRODUTOS ALIMENTÍCIOS;15.0;17.015.00;1901.10.30;Preparações para alimentação infantil à base de farinhas, grumos, sêmolas ou amidos e outros
PRODUTOS ALIMENTÍCIOS;16.0;17.016.00;0401.10.10;Leite “longa vida” (UHT - “Ultra High Temperature”), em recipiente de conteúdo inferior ou igual a 2 litros
PRODUTOS ALIMENTÍCIOS;16.0;17.016.00;0401.20.10;Leite “longa vida” (UHT - “Ultra High Temperature”), em recipiente de conteúdo inferior ou igual a 2 litros
PRODUTOS ALIMENTÍCIOS;16.1;17.016.01;0401.10.10;Leite “longa vida” (UHT - “Ultra High Temperature”), em recipiente de conteúdo superior a 2 litros e inferior ou igual a 5 litros
